frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
25,2,-15.42,-28.715,-7.254,-16.46,-1.825,-2.881,-25.093,-43.015,-4.924,-7.245
26,1,-3.495,-6.708,1.334,-1.356,-0.433,-0.604,-9.0,-12.888,-0.358,-0.726
26,2,-16.075,-29.827,-8.239,-18.083,-0.655,-1.112,-24.177,-41.821,0.916,1.194
27,1,-4.559,-8.031,0.459,-2.341,-1.064,-1.324,-8.993,-13.005,0.007,-0.117
27,3,-17.041,-31.356,-9.607,-20.19,0.0,0.0,-27.415,-46.663,0.0,0.0
27,2,-15.92,-29.694,-10.717,-21.641,0.155,0.133,-19.358,-34.8,4.82,7.021
28,1,-4.518,-8.186,0.625,-2.257,0.041,-0.155,-8.574,-12.784,0.419,0.222
28,2,-14.747,-27.979,-8.755,-18.818,1.174,1.715,-19.578,-35.13,-0.22,-0.331
29,1,-5.609,-9.665,-0.979,-4.597,-1.091,-1.478,-9.712,-14.378,-1.138,-1.595
29,3,-15.718,-29.535,-9.556,-20.214,1.324,1.821,-20.984,-37.288,6.431,9.375
30,1,-5.165,-9.412,-0.331,-3.801,0.443,0.253,-9.474,-14.344,0.238,0.035
30,3,-15.788,-29.691,-10.161,-21.083,-0.07,-0.156,-20.723,-36.961,0.261,0.327
31,1,-4.972,-9.39,-0.16,-3.63,0.194,0.022,-9.866,-15.058,-0.392,-0.714
31,3,-16.317,-30.548,-10.211,-21.456,-0.53,-0.857,-21.009,-37.505,-0.286,-0.544
32,1,-4.476,-8.947,0.277,-3.187,0.496,0.443,-10.262,-15.865,-0.396,-0.808
32,3,-16.822,-31.356,-10.405,-21.773,-0.505,-0.808,-21.73,-38.613,-0.721,-1.108
33,1,-4.233,-8.812,0.212,-3.282,0.242,0.135,-9.95,-15.678,0.312,0.187
33,3,-16.476,-30.869,-9.985,-21.162,0.346,0.487,-21.862,-38.796,-0.132,-0.183
34,1,-4.379,-9.103,0.296,-3.317,-0.146,-0.291,-10.265,-16.293,-0.315,-0.615
34,3,-16.63,-31.135,-10.369,-21.788,-0.154,-0.266,-21.952,-38.954,-0.09,-0.158
34,2,-18.325,-33.716,-10.958,-22.787,-3.579,-5.736,-26.267,-45.434,-6.689,-10.304
35,1,-4.544,-9.373,0.208,-3.477,-0.165,-0.27,-10.274,-16.336,-0.008,-0.043
35,3,-15.171,-28.989,-8.997,-19.757,1.459,2.146,-19.784,-35.81,2.168,3.144
36,1,-5.362,-10.509,0.015,-3.795,-0.818,-1.135,-11.375,-17.995,-1.102,-1.658
36,2,-17.817,-33.081,-14.025,-27.486,0.509,0.635,-19.594,-35.691,6.672,9.744
37,1,-5.925,-11.415,-0.096,-4.052,-0.563,-0.907,-12.878,-20.107,-1.502,-2.112
38,1,-6.553,-12.326,-0.454,-4.641,-0.628,-0.911,-14.06,-21.801,-1.182,-1.694
39,1,-8.82,-15.407,-2.573,-7.346,-2.267,-3.081,-12.507,-20.068,1.553,1.733
40,1,-9.111,-15.974,-3.602,-8.809,-0.291,-0.567,-11.703,-19.098,0.804,0.97
41,1,-8.889,-15.938,-3.034,-8.522,0.222,0.036,-11.501,-19.24,0.202,-0.142
42,1,-8.406,-15.501,-1.653,-6.788,0.483,0.437,-12.125,-20.255,-0.624,-1.015
43,1,-8.586,-15.775,-1.954,-7.157,-0.18,-0.274,-9.712,-17.255,2.413,3.0
44,1,-12.286,-20.694,-2.072,-7.32,-3.7,-4.918,-12.077,-20.472,-2.365,-3.217
46,1,-12.155,-21.103,-8.938,-16.99,0.131,-0.409,-13.161,-22.381,-1.084,-1.909
47,1,-12.397,-21.576,-6.555,-13.787,-0.242,-0.473,-15.817,-25.977,-2.657,-3.596
48,1,-10.326,-18.984,-4.992,-11.833,2.072,2.592,-11.231,-20.162,4.587,5.815
49,1,-9.86,-18.359,-3.399,-9.604,0.466,0.625,-13.176,-22.844,-1.945,-2.683
50,1,-8.808,-17.017,-3.456,-9.737,1.052,1.342,-10.612,-19.474,2.564,3.371
51,1,-8.086,-16.155,-3.865,-10.306,0.722,0.862,-9.446,-17.963,1.167,1.511
52,1,-8.876,-17.343,-3.152,-9.305,-0.79,-1.188,-14.934,-25.665,-5.489,-7.702
53,1,-8.781,-17.306,-3.206,-9.433,0.096,0.037,-15.646,-26.809,-0.712,-1.144
54,1,-10.46,-19.781,-3.827,-10.549,-1.68,-2.475,-16.881,-28.631,-1.234,-1.822
55,1,-9.741,-18.902,-3.988,-10.803,0.719,0.879,-16.946,-28.911,-0.066,-0.28
56,1,-10.235,-19.694,-3.951,-10.84,-0.494,-0.792,-15.185,-26.603,1.762,2.308
57,1,-11.805,-22.042,-4.439,-11.664,-1.571,-2.348,-17.8,-30.433,-2.615,-3.83
58,1,-11.48,-21.725,-4.322,-11.553,0.325,0.317,-16.884,-29.332,0.916,1.101
59,1,-12.442,-23.233,-4.688,-12.113,-0.962,-1.508,-18.266,-31.444,-1.382,-2.112
60,1,-13.634,-25.022,-5.274,-13.024,-1.191,-1.789,-23.064,-38.536,-4.799,-7.092
61,1,-12.871,-24.038,-4.813,-12.465,0.763,0.984,-21.625,-36.438,1.439,2.098
62,1,-13.4,-24.911,-5.527,-13.562,-0.529,-0.873,-22.545,-37.897,-0.92,-1.459
63,1,-13.347,-24.943,-5.717,-13.923,0.053,-0.032,-19.195,-33.347,3.35,4.55
64,1,-12.93,-24.451,-5.347,-13.46,0.416,0.492,-19.098,-33.406,0.097,-0.059
65,1,-12.577,-24.047,-5.325,-13.478,0.354,0.405,-19.542,-34.097,-0.444,-0.691
66,1,-13.524,-25.549,-5.406,-13.663,-0.948,-1.503,-24.153,-41.077,-4.611,-6.98
67,1,-13.438,-25.486,-5.499,-13.842,0.086,0.064,-23.786,-40.65,0.368,0.426
68,1,-13.216,-25.277,-5.821,-14.367,0.222,0.209,-20.859,-36.472,2.927,4.179
69,1,-14.279,-26.928,-6.275,-15.108,-1.063,-1.651,-22.898,-39.545,-2.039,-3.073
70,1,-14.49,-27.351,-6.489,-15.515,-0.211,-0.423,-23.614,-40.681,-0.717,-1.137
71,3,-15.309,-28.633,-7.739,-17.401,-0.138,0.356,-26.45,-44.924,-6.666,-9.114
72,3,-16.152,-29.986,-9.022,-19.384,-0.843,-1.353,-24.298,-41.894,2.152,3.03
73,2,-18.11,-32.972,-8.809,-19.141,-0.294,0.109,-29.292,-49.467,-9.698,-13.777
74,3,-15.683,-29.497,-8.427,-18.654,0.469,0.489,-24.309,-42.197,-0.012,-0.303
77,3,-14.875,-28.477,-9.423,-20.28,0.808,1.02,-22.716,-40.006,1.594,2.19
