frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
1,1,1.765,2.893,3.028,4.132,0.0,0.0,1.128,2.714,0.0,0.0
2,1,1.673,2.669,3.135,3.882,-0.092,-0.224,0.793,2.219,-0.334,-0.496
3,1,1.596,2.401,3.12,3.917,-0.077,-0.268,0.626,1.853,-0.167,-0.366
4,1,1.492,2.09,3.271,3.567,-0.103,-0.311,0.082,1.262,-0.544,-0.591
4,2,-11.222,-20.223,-3.999,-10.374,0.0,0.0,-15.596,-25.916,0.0,0.0
5,1,1.352,1.763,3.419,3.223,-0.14,-0.327,-0.428,0.579,-0.51,-0.683
5,2,-13.317,-23.081,-4.623,-11.265,-2.095,-2.858,-22.408,-34.594,-6.812,-8.678
6,1,1.126,1.364,3.414,3.035,-0.227,-0.399,-0.91,-0.038,-0.482,-0.617
7,1,0.869,0.968,3.373,2.714,-0.257,-0.397,-1.118,-0.502,-0.208,-0.464
7,2,-8.829,-17.288,-4.135,-10.656,4.488,5.792,-10.843,-20.12,11.565,14.474
8,1,0.596,0.513,3.249,2.449,-0.273,-0.455,-1.185,-0.873,-0.068,-0.371
8,2,-9.453,-18.213,-4.505,-11.156,-0.624,-0.924,-11.68,-21.254,-0.837,-1.135
9,1,0.209,0.043,2.985,2.21,-0.387,-0.47,-1.917,-1.611,-0.732,-0.737
9,2,-9.971,-19.044,-4.089,-10.702,-0.518,-0.832,-14.641,-25.534,-2.961,-4.279
10,1,0.222,-0.215,3.016,2.101,0.014,-0.258,-2.295,-2.116,-0.378,-0.505
10,2,-10.817,-20.285,-4.614,-11.498,-0.846,-1.241,-15.629,-27.068,-0.988,-1.534
11,1,-0.073,-0.594,2.726,1.822,-0.296,-0.378,-1.976,-2.13,0.319,-0.014
11,2,-9.976,-19.228,-4.9,-11.918,0.841,1.057,-15.485,-27.076,0.143,-0.008
12,1,-0.311,-0.932,2.658,1.55,-0.238,-0.338,-2.759,-3.043,-0.783,-0.913
12,2,-11.385,-21.339,-5.292,-12.762,-1.409,-2.111,-15.817,-27.707,-0.332,-0.631
13,1,-0.683,-1.484,2.487,1.277,-0.372,-0.551,-2.796,-3.37,-0.037,-0.327
13,2,-12.233,-22.624,-5.672,-13.442,-0.849,-1.285,-17.2,-29.782,-1.383,-2.076
14,1,-0.842,-1.759,2.191,1.047,-0.16,-0.275,-3.45,-4.126,-0.655,-0.756
14,2,-11.896,-22.305,-5.695,-13.424,0.338,0.319,-15.779,-27.94,1.421,1.842
15,1,-1.706,-2.692,2.01,0.679,-0.864,-0.933,-4.024,-4.877,-0.574,-0.751
15,2,-11.343,-21.563,-5.556,-13.285,0.553,0.742,-14.495,-26.116,1.284,1.824
16,1,-1.635,-2.834,1.799,0.313,0.071,-0.141,-4.506,-5.527,-0.481,-0.65
16,2,-12.008,-22.668,-5.854,-13.812,-0.665,-1.105,-15.578,-27.883,-1.083,-1.767
17,1,-1.69,-3.229,1.759,0.264,-0.055,-0.395,-5.492,-6.816,-0.986,-1.289
17,2,-11.649,-22.255,-5.7,-13.677,0.359,0.413,-15.608,-27.982,-0.03,-0.099
18,1,-1.68,-3.424,1.61,-0.096,0.01,-0.195,-4.95,-6.689,0.541,0.127
18,2,-11.401,-21.933,-5.605,-13.498,0.249,0.322,-17.64,-31.0,-2.032,-3.017
19,1,-2.245,-4.283,1.668,-0.54,-0.565,-0.859,-5.701,-7.681,-0.751,-0.992
19,2,-11.766,-22.611,-6.084,-14.429,-0.366,-0.678,-14.409,-26.511,3.232,4.489
20,1,-2.265,-4.428,1.598,-0.614,-0.02,-0.146,-6.114,-8.394,-0.412,-0.713
20,2,-13.102,-24.629,-6.752,-15.324,-1.336,-2.018,-16.179,-29.202,-1.771,-2.691
21,1,-1.824,-4.231,1.862,-0.253,0.441,0.198,-5.666,-8.264,0.448,0.13
21,2,-14.779,-27.213,-8.056,-17.53,-1.677,-2.584,-20.957,-36.104,-4.778,-6.902
22,1,-2.254,-4.793,1.59,-0.738,-0.43,-0.562,-5.89,-8.639,-0.224,-0.375
22,2,-12.468,-23.933,-6.433,-14.989,2.311,3.28,-16.475,-30.051,4.482,6.052
23,1,-2.543,-5.288,1.487,-1.044,-0.29,-0.495,-6.133,-9.145,-0.243,-0.506
23,2,-12.314,-23.794,-6.889,-15.81,0.154,0.139,-17.356,-31.45,-0.881,-1.398
24,1,-2.604,-5.483,1.498,-1.063,-0.06,-0.194,-7.101,-10.536,-0.968,-1.391
24,2,-13.595,-25.834,-7.416,-16.66,-1.281,-2.04,-20.169,-35.77,-2.813,-4.32
25,1,-3.062,-6.103,1.389,-1.157,-0.458,-0.62,-8.642,-12.162,-1.541,-1.626
