frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
116,1,0.878,6.142,0.985,6.21,0.008,0.0,0.836,6.122,-0.03,-0.021
116,3,0.479,5.905,0.513,5.939,-0.221,-0.138,0.463,5.901,-0.118,-0.076
117,2,1.13,6.028,1.552,6.26,0.007,-0.002,1.115,6.02,0.041,0.015
117,1,0.873,6.139,0.978,6.206,-0.004,-0.003,0.828,6.117,-0.008,-0.005
117,4,0.712,6.048,0.987,6.208,-0.037,-0.025,0.657,6.019,-0.037,-0.023
118,2,1.155,6.038,1.512,6.253,0.026,0.01,1.059,5.984,-0.056,-0.036
118,4,0.736,6.064,1.01,6.22,0.024,0.017,0.673,6.029,0.016,0.01
118,1,0.929,6.173,0.999,6.221,0.056,0.033,0.917,6.17,0.089,0.052
119,2,1.167,6.035,1.586,6.275,0.011,-0.004,1.122,6.01,0.063,0.026
119,4,0.771,6.083,1.026,6.226,0.035,0.019,0.693,6.041,0.021,0.012
120,2,1.17,6.031,1.583,6.266,0.003,-0.004,1.08,5.973,-0.042,-0.038
120,4,0.768,6.082,1.019,6.222,-0.002,-0.002,0.682,6.033,-0.011,-0.007
121,2,1.19,6.036,1.588,6.272,0.021,0.006,1.106,5.985,0.026,0.012
121,4,0.695,6.038,1.022,6.217,-0.074,-0.044,0.574,5.969,-0.108,-0.065
122,2,1.189,6.029,1.619,6.278,-0.001,-0.007,1.159,6.012,0.053,0.027
122,4,0.753,6.069,1.013,6.215,0.058,0.032,0.597,5.985,0.023,0.016
123,2,1.207,6.036,1.613,6.285,0.018,0.007,1.151,6.004,-0.008,-0.008
123,4,0.694,6.033,1.018,6.208,-0.058,-0.036,0.556,5.955,-0.042,-0.03
124,4,0.659,6.005,1.044,6.215,-0.036,-0.029,0.537,5.938,-0.018,-0.017
124,2,1.246,6.053,1.642,6.294,0.038,0.017,1.203,6.029,0.052,0.024
125,2,1.263,6.054,1.655,6.288,0.017,0.0,1.199,6.012,-0.004,-0.016
125,4,0.666,6.005,1.029,6.207,0.008,0.0,0.565,5.95,0.028,0.012
126,2,1.258,6.045,1.663,6.289,-0.005,-0.008,1.228,6.026,0.029,0.014
126,4,0.676,6.005,1.037,6.211,0.01,0.0,0.699,6.019,0.134,0.068
127,4,0.698,6.015,1.048,6.21,0.022,0.01,0.687,6.008,-0.012,-0.01
127,2,1.264,6.042,1.671,6.291,0.006,-0.004,1.21,6.009,-0.019,-0.017
128,2,1.285,6.047,1.701,6.297,0.02,0.005,1.225,6.009,0.015,-0.001
128,4,0.676,5.999,1.027,6.195,-0.022,-0.017,0.642,5.98,-0.046,-0.029
129,4,0.694,6.007,1.033,6.202,0.017,0.008,0.628,5.974,-0.013,-0.005
129,2,1.292,6.045,1.705,6.303,0.007,-0.002,1.243,6.017,0.019,0.009
130,4,0.696,6.007,1.051,6.205,0.002,-0.0,0.74,6.034,0.112,0.059
130,2,1.297,6.044,1.731,6.292,0.005,-0.001,1.256,6.016,0.012,-0.002
131,4,0.722,6.017,1.094,6.216,0.026,0.01,0.636,5.969,-0.104,-0.064
131,2,1.329,6.058,1.753,6.296,0.032,0.014,1.297,6.03,0.041,0.014
132,4,0.718,6.014,1.084,6.217,-0.004,-0.003,0.599,5.953,-0.037,-0.017
132,2,1.313,6.041,1.746,6.295,-0.017,-0.016,1.268,6.008,-0.029,-0.022
133,4,0.735,6.02,1.111,6.222,0.017,0.006,0.623,5.96,0.024,0.008
133,2,1.331,6.037,1.765,6.304,0.018,-0.004,1.221,5.967,-0.047,-0.04
134,2,1.334,6.033,1.785,6.31,0.004,-0.004,1.281,6.003,0.061,0.035
134,4,0.745,6.021,1.1,6.223,0.01,0.001,0.63,5.96,0.007,-0.001
135,2,1.349,6.041,1.77,6.307,0.015,0.008,1.284,6.001,0.003,-0.002
135,4,0.756,6.024,1.132,6.234,0.011,0.003,0.759,6.026,0.129,0.066
136,2,1.374,6.051,1.776,6.311,0.026,0.01,1.296,6.003,0.012,0.002
136,4,0.748,6.016,1.103,6.218,-0.008,-0.008,0.616,5.944,-0.143,-0.083
137,2,1.408,6.068,1.794,6.32,0.034,0.017,1.352,6.033,0.056,0.03
137,4,0.751,6.013,1.137,6.227,0.003,-0.003,0.652,5.957,0.036,0.013
138,4,0.829,6.051,1.148,6.226,0.078,0.038,0.741,6.002,0.089,0.045
138,2,1.418,6.064,1.818,6.321,0.01,-0.005,1.319,6.004,-0.033,-0.03
139,4,0.793,6.029,1.15,6.223,-0.036,-0.022,0.763,6.01,0.023,0.008
139,2,1.452,6.078,1.852,6.331,0.035,0.015,1.322,5.995,0.002,-0.008
140,2,1.44,6.064,1.882,6.334,-0.012,-0.015,1.337,5.995,0.016,-0.001
140,4,0.784,6.019,1.166,6.229,-0.01,-0.01,0.728,5.986,-0.035,-0.023
141,2,1.43,6.052,1.856,6.316,-0.011,-0.012,1.383,6.022,0.046,0.028
141,4,0.784,6.011,1.197,6.241,0.0,-0.008,0.684,5.953,-0.045,-0.033
141,1,1.399,6.024,1.789,6.263,0.47,-0.149,1.398,6.026,0.481,-0.144
142,4,0.765,5.992,1.181,6.235,-0.019,-0.019,0.586,5.894,-0.098,-0.059
142,2,1.433,6.046,1.861,6.319,0.004,-0.006,1.373,6.008,-0.01,-0.015
143,2,1.454,6.054,1.906,6.336,0.021,0.008,1.38,6.007,0.007,-0.001
143,4,0.784,6.002,1.192,6.234,0.019,0.01,0.722,5.971,0.136,0.077
144,2,1.504,6.076,1.9,6.332,0.049,0.022,1.414,6.019,0.034,0.012
144,4,0.783,6.0,1.201,6.236,-0.0,-0.002,0.603,5.895,-0.119,-0.077
145,4,0.798,6.004,1.201,6.236,0.014,0.004,0.724,5.962,0.121,0.068
145,2,1.523,6.083,1.944,6.348,0.019,0.007,1.432,6.021,0.018,0.003
146,1,1.523,6.078,1.939,6.344,0.123,0.055,1.467,6.044,0.069,0.018
146,4,0.833,6.021,1.213,6.232,0.035,0.017,0.718,5.953,-0.006,-0.009
147,4,0.795,5.996,1.218,6.239,-0.038,-0.025,0.743,5.968,0.025,0.015
147,1,1.516,6.071,1.932,6.343,-0.007,-0.008,1.468,6.044,0.001,-0.0
148,4,0.839,6.016,1.225,6.243,0.043,0.02,0.747,5.967,0.004,-0.001
148,1,1.51,6.053,1.934,6.331,-0.006,-0.018,1.534,6.08,0.066,0.036
149,4,0.833,6.009,1.23,6.235,-0.006,-0.007,0.749,5.964,0.001,-0.003
149,1,1.497,6.043,1.955,6.335,-0.013,-0.01,1.528,6.069,-0.006,-0.01
150,4,0.837,6.01,1.248,6.239,0.004,0.001,0.782,5.98,0.034,0.016
150,1,1.515,6.044,1.983,6.34,0.018,0.001,1.374,5.951,-0.154,-0.119
151,4,0.889,6.037,1.265,6.242,0.053,0.028,0.826,6.001,0.043,0.021
151,1,1.568,6.079,1.984,6.348,0.052,0.034,1.512,6.043,0.138,0.092
152,4,0.906,6.045,1.276,6.252,0.017,0.007,0.886,6.035,0.06,0.034
152,2,1.541,6.05,2.007,6.35,0.019,-0.033,1.53,6.047,0.098,0.025
153,4,0.893,6.033,1.283,6.256,-0.013,-0.011,0.886,6.032,0.0,-0.003
153,2,1.545,6.044,2.03,6.342,0.004,-0.006,1.442,5.973,-0.087,-0.074
154,4,0.901,6.036,1.283,6.256,0.008,0.003,0.87,6.019,-0.016,-0.013
154,2,1.555,6.044,2.025,6.338,0.01,0.001,1.447,5.97,0.005,-0.002
154,1,1.565,6.043,1.989,6.323,-0.002,-0.036,1.536,6.025,0.023,-0.017
155,4,0.88,6.021,1.263,6.244,-0.021,-0.015,0.762,5.953,-0.109,-0.067
155,2,1.608,6.079,2.0,6.338,0.053,0.034,1.544,6.039,0.096,0.069
156,4,0.883,6.021,1.268,6.237,0.003,-0.0,0.859,6.01,0.097,0.057
156,2,1.583,6.05,2.043,6.344,-0.025,-0.029,1.487,5.986,-0.056,-0.053
157,4,0.901,6.032,1.271,6.246,0.019,0.011,0.857,6.007,-0.002,-0.003
157,2,1.589,6.046,2.038,6.351,0.007,-0.004,1.497,5.99,0.01,0.004
158,4,0.927,6.043,1.304,6.255,0.025,0.011,0.877,6.014,0.02,0.007
158,2,1.601,6.049,2.067,6.354,0.012,0.003,1.48,5.966,-0.017,-0.024
158,1,1.577,6.029,2.005,6.314,0.012,-0.014,1.545,6.007,0.009,-0.018
159,2,1.606,6.049,2.08,6.356,0.005,0.0,1.507,5.986,0.028,0.02
159,4,0.924,6.038,1.295,6.253,-0.003,-0.005,0.855,5.997,-0.022,-0.017
160,2,1.621,6.052,2.089,6.355,0.014,0.003,1.553,6.013,0.046,0.027
160,4,0.895,6.02,1.307,6.25,-0.029,-0.019,0.919,6.033,0.064,0.036
161,4,0.887,6.009,1.307,6.25,-0.009,-0.011,0.753,5.93,-0.165,-0.103
161,2,1.652,6.068,2.1,6.36,0.031,0.017,1.597,6.04,0.044,0.027
161,1,1.636,6.051,2.066,6.336,0.06,0.022,1.587,6.021,0.042,0.014
162,1,1.658,6.067,2.103,6.366,0.022,0.016,1.619,6.05,0.032,0.03
