frame,track_id,centroid_x_m,centroid_y_m,bottom_x_m,bottom_y_m,delta_x,delta_y,alt_cx_m,alt_cy_m,delta_alt_x,delta_alt_y
31,1,-5.842,-11.084,0.386,-3.168,-0.411,-0.621,-18.316,-26.136,2.514,2.801
31,2,-15.402,-28.699,-6.17,-14.909,-0.471,-0.847,-33.17,-54.891,-1.128,-1.915
32,1,-6.511,-12.058,0.231,-3.515,-0.669,-0.973,-21.537,-30.599,-3.221,-4.463
32,2,-14.438,-27.306,-5.786,-14.394,0.964,1.393,-28.112,-47.467,5.058,7.424
33,1,-7.138,-12.921,0.049,-3.849,-0.627,-0.864,-24.575,-34.648,-3.038,-4.049
33,2,-14.433,-27.402,-6.099,-14.963,0.005,-0.096,-30.045,-50.45,-1.933,-2.983
34,1,-6.797,-12.655,-0.01,-3.969,0.341,0.266,-18.857,-27.904,5.718,6.744
34,2,-13.52,-26.081,-6.214,-15.153,0.913,1.321,-28.363,-47.983,1.682,2.467
35,1,-7.502,-13.676,-0.143,-4.2,-0.704,-1.021,-20.479,-30.002,-1.622,-2.098
35,2,-12.841,-25.125,-6.075,-14.981,0.679,0.956,-22.66,-39.614,5.702,8.369
36,1,-8.167,-14.595,-0.656,-4.7,-0.665,-0.919,-18.023,-26.914,2.455,3.088
36,2,-13.906,-26.817,-6.439,-15.551,-1.065,-1.692,-28.416,-48.219,-5.756,-8.605
37,1,-9.424,-16.381,-0.631,-4.858,-1.257,-1.785,-27.495,-39.409,-9.471,-12.495
37,2,-14.043,-27.077,-7.24,-16.776,-0.137,-0.26,-20.038,-35.884,8.378,12.335
38,1,-11.002,-18.592,-0.724,-4.966,-1.578,-2.211,-21.811,-32.288,5.684,7.121
38,2,-13.766,-26.747,-7.335,-17.024,0.277,0.329,-20.261,-36.348,-0.224,-0.465
39,1,-11.344,-19.274,-2.673,-7.895,-0.342,-0.682,-20.009,-30.277,1.802,2.012
39,2,-14.399,-27.747,-7.67,-17.766,-0.633,-1.0,-18.82,-34.286,1.441,2.063
40,1,-11.048,-19.062,-2.03,-7.217,0.296,0.212,-22.141,-33.382,-2.132,-3.105
40,2,-14.829,-28.381,-8.277,-18.738,-0.431,-0.634,-17.538,-32.361,1.282,1.925
41,1,-10.533,-18.527,-1.5,-6.551,0.515,0.535,-23.152,-35.081,-1.011,-1.7
41,2,-14.138,-27.371,-7.628,-17.792,0.691,1.01,-15.737,-29.675,1.801,2.686
42,1,-10.068,-17.982,-1.346,-6.331,0.465,0.545,-22.719,-34.788,0.433,0.294
43,1,-12.23,-20.986,-1.947,-7.166,-2.162,-3.004,-26.502,-39.744,-3.783,-4.956
44,2,-14.663,-24.409,-4.815,-11.536,-0.525,2.962,-29.355,-43.889,-13.618,-14.214
45,2,-14.289,-24.078,-3.962,-10.411,0.374,0.331,-30.166,-45.157,-0.811,-1.268
46,2,-14.067,-23.912,-3.847,-10.324,0.221,0.166,-37.885,-55.656,-7.72,-10.499
47,2,-13.534,-23.368,-3.23,-9.406,0.533,0.544,-31.187,-46.873,6.699,8.783
47,1,2.003,4.178,2.854,4.534,14.233,25.163,1.316,4.14,27.818,43.884
